words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
доброволець,-,1,0,0,6
волонтер,-,1,0,0,7
охочий,-,1,0,0,5
добродійник,-,1,0,0,12
філантроп,-,1,0,0,13
доброчинець,-,1,0,0,13
добродій,-,1,0,0,11
доброзичливий,-,1,0,0,6
зичливий,-,1,0,0,7
прихильний,-,2,0,0,7
приязний,-,4,0,0,7
добрий,-,3,0,0,5
доброзичний,-,1,0,0,7
поблажливий,-,1,0,0,7
людяний,-,3,0,0,7
чулий,-,3,0,0,6
добротний,-,3,0,0,6
тривкий,-,2,0,0,5
доброякісний,-,1,0,0,7
високоякісний,-,1,0,0,5
якісний,-,1,0,0,5
доброчинність,U,0,0,0,-1
добродійність,U,0,0,0,-1
філантропія,U,0,0,0,-1
добродіяння,U,0,0,0,-1
добувати,-,6,0,0,11
добути,-,5,0,0,11
видобувати,-,4,0,0,11
видобути,-,4,0,0,11
виймати,-,8,0,0,10
вийняти,-,6,0,0,10
дістати,-,3,0,0,10
здобувати,-,3,0,0,11
знайти,-,3,0,0,10
одержати,-,7,0,0,10
довбати,-,5,0,0,11
довбти,-,2,0,0,12
роздовбувати,-,1,0,0,10
роздовбати,-,1,0,0,10
длубати,-,1,0,0,12
продовбувати,-,1,0,0,12
продовбати,-,1,0,0,12
продовбти,-,1,0,0,12
видовбувати,-,2,0,0,11
видовбати,-,2,0,0,11
довбатися,-,3,0,0,11
довбтися,-,2,0,0,12
длубатися,-,3,0,0,11
копирсатися,-,1,0,0,10
колупатися,-,1,0,0,12
возитися,-,5,0,0,11
вовтузитися,-,2,0,0,10
копатися,-,3,0,0,11
довгастий,-,1,0,0,7
видовжений,-,1,0,0,8
витягнений,-,1,0,0,8
витягнутий,-,1,0,0,8
подовжений,-,1,0,0,8
довгуватий,-,1,0,0,6
лінійний,-,1,0,0,8
овальний,-,1,0,0,8
заокруглений,-,1,0,0,8
довгий,-,3,0,0,5
довжелезний,-,2,0,0,5
довженний,-,2,0,0,5
довжезний,-,2,0,0,5
довгенький,-,1,0,0,6
доземний,-,1,0,0,5
додільний,-,1,0,0,6
тривалий,-,2,0,0,5
довгочасний,-,1,0,0,6
довго,-,3,0,0,6
чимало,-,2,0,0,5
чималу_годину,-,1,0,0,7
чималий_час,-,1,0,0,7
усе,-,1,0,0,6
все,-,1,0,0,6
довгенько,-,1,0,0,7
подовгу,-,1,0,0,7
довговічний,U,0,0,0,-1
багаторічний,U,0,0,0,-1
довгорічний,U,0,0,0,-1
довгоносик,U,0,0,0,-1
слоник,U,0,0,0,-1
вовчок_збіжжевий,U,0,0,0,-1
носач,U,0,0,0,-1
свинка,U,0,0,0,-1
довготелесий,-,2,0,0,5
високий,-,3,0,0,4
худий,-,2,0,0,6
незграбний,-,1,0,0,4
довготривалий,-,2,0,0,6
довершений,-,3,0,0,5
досконалий,-,3,0,0,5
довершити,-,4,0,0,10
довершувати,-,3,0,0,10
завершувати,-,2,0,0,10
завершити,-,2,0,0,10
закінчувати,-,6,0,0,9
закінчити,-,2,0,0,10
виконувати,-,2,0,0,9
виконати,-,2,0,0,9
довести,-,2,0,0,10
доводити,-,2,0,0,9
довід,A,1,1,0,9
потвердження,U,0,0,0,10
свідчення,-,1,0,0,8
арґумент,U,0,0,0,10
резон,0,0,1,0,9
доказ,U,0,0,0,10
підстава,0,0,2,0,8
довідатися,-,4,0,0,11
довідуватися,-,3,0,0,11
довідка,U,0,0,0,-1
посвідчення,U,0,0,0,-1
посвідка,U,0,0,0,-1
свідоцтво,U,0,0,0,-1
довідник,0,0,1,0,12
посібник,0,0,1,0,11
проспект,0,0,1,0,13
прейскурант,0,0,1,0,13
дізнаватися,-,4,0,0,10
дізнатися,-,5,0,0,11
вивідувати,-,2,0,0,10
вивідати,-,2,0,0,10
довіра,0,0,1,0,10
довір'я,0,0,1,0,11
віра,0,0,1,0,9
довірений,-,1,0,0,6
наближений,-,1,0,0,5
довірливий,-,1,0,0,7
легковірний,-,1,0,0,8
наївний,-,2,0,0,7
простакуватий,-,2,0,0,7
довіряти,-,3,0,0,10
довірятися,-,1,0,0,11
довіритися,-,1,0,0,11
вірити,-,1,0,0,11
йняти_віру,-,1,0,0,11
йняти_віри,-,1,0,0,11
пойняти_віру,-,1,0,0,11
пойняти_віри,-,1,0,0,11
покладатися,-,1,0,0,11
покластися,-,1,0,0,11
звірятися,-,1,0,0,11
звіритися,-,1,0,0,11
надіятися,-,2,0,0,11
увіряти,-,1,0,0,11
ввіряти,-,1,0,0,11
увірити,-,1,0,0,11
ввірити,-,1,0,0,11
увірятися,-,1,0,0,11
ввіритися,-,1,0,0,11
спускатися,-,3,0,0,9
спуститися,-,3,0,0,9
доручати,-,1,0,0,9
звіряти,-,10,0,0,11
довічний,-,3,0,0,7
вічний,-,1,0,0,6
споконвічний,-,2,0,0,6
одвічний,-,2,0,0,7
обґрунтовувати,-,1,0,0,10
обґрунтувати,-,1,0,0,10
мотивувати,-,1,0,0,10
умотивовувати,-,1,0,0,10
вмотивовувати,-,1,0,0,10
умотивувати,-,1,0,0,10
вмотивувати,-,1,0,0,10
показувати,-,8,0,0,10
показати,-,7,0,0,10
арґументувати,-,1,0,0,10
обставляти,-,3,0,0,10
обставити,-,3,0,0,10
підпирати,-,1,0,0,10
підперти,-,1,0,0,10
документувати,-,1,0,0,10
допроваджувати,-,3,0,0,10
допровадити,-,3,0,0,10
приводити,-,2,0,0,10
привести,-,2,0,0,10
припроваджувати,-,2,0,0,10
припровадити,-,2,0,0,10
призводити,-,1,0,0,10
призвести,-,1,0,0,10
уганяти,-,2,0,0,8
вганяти,-,2,0,0,8
повергати,-,1,0,0,10
повергнути,-,1,0,0,10
доносити,-,7,0,0,10
притирати,-,1,0,0,10
супроводжувати,-,2,0,0,10
доводитися,-,8,0,0,11
довестися,-,1,0,0,12
траплятися,-,3,0,0,10
трапитися,-,2,0,0,10
випадати,-,3,0,0,10
випасти,-,2,0,0,10
припадати,-,5,0,0,10
припасти,-,6,0,0,10
приходитися,-,3,0,0,11
прийтися,-,3,0,0,11
бути,-,3,0,0,10
матися,-,1,0,0,10
довшати,U,0,0,0,-1
видовжуватися,U,0,0,0,-1
видовжитися,U,0,0,0,-1
догана,-,1,0,0,5
нагінка,-,1,0,0,6
осуд,-,1,0,0,4
осуда,-,1,0,0,6
нотація,-,1,0,0,6
прочухан,-,1,0,0,6
прочуханка,-,1,0,0,6
доганяти,-,2,0,0,10
догнати,-,1,0,0,11
наздоганяти,-,2,0,0,10
наздогнати,-,2,0,0,10
