words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
доброволець,-,1,0,0,10
волонтер,-,1,0,0,11
охочий,-,2,0,1,9
добродійник,-,1,0,0,15
філантроп,-,1,0,0,16
доброчинець,-,1,0,0,16
добродій,-,1,0,0,14
доброзичливий,-,2,0,0,8
зичливий,-,1,0,0,9
прихильний,-,2,0,0,9
приязний,-,4,0,0,8
добрий,-,4,1,0,7
доброзичний,-,1,0,0,9
поблажливий,-,1,0,0,9
людяний,-,3,0,0,8
чулий,-,2,0,0,7
добротний,0,1,2,0,7
тривкий,-,2,1,0,6
доброякісний,0,0,1,0,8
високоякісний,0,0,1,0,7
якісний,0,0,1,0,7
доброчинність,U,0,0,0,-1
добродійність,U,0,0,0,-1
філантропія,U,0,0,0,-1
добродіяння,U,0,0,0,-1
добувати,+,0,0,4,9
добути,+,0,0,4,9
видобувати,+,0,0,4,9
видобути,+,0,0,4,9
виймати,+,1,0,3,9
вийняти,+,1,0,2,9
дістати,U,0,0,0,9
здобувати,+,0,0,1,8
знайти,+,0,0,3,8
одержати,+,0,1,8,9
довбати,+,0,0,3,10
довбти,+,0,0,2,10
роздовбувати,U,0,0,0,9
роздовбати,U,0,0,0,9
длубати,+,0,0,1,11
продовбувати,+,0,0,1,11
продовбати,+,0,0,1,11
продовбти,+,0,0,1,11
видовбувати,+,0,0,4,9
видовбати,+,0,0,4,9
довбатися,+,0,0,3,9
довбтися,+,0,0,2,9
длубатися,+,0,0,3,9
копирсатися,+,0,0,1,8
колупатися,+,0,0,1,10
возитися,+,0,0,3,8
вовтузитися,+,0,0,3,8
копатися,+,0,0,3,9
довгастий,-,1,0,0,10
видовжений,-,1,0,0,11
витягнений,-,1,0,0,11
витягнутий,-,1,0,0,11
подовжений,-,1,0,0,11
довгуватий,-,1,0,0,9
лінійний,-,1,0,0,11
овальний,-,1,0,0,11
заокруглений,-,1,0,0,11
довгий,-,1,0,0,8
довжелезний,-,1,0,0,8
довженний,-,1,0,0,8
довжезний,-,1,0,0,8
довгенький,-,1,0,0,9
доземний,-,1,0,0,7
додільний,-,1,0,0,9
тривалий,U,0,0,0,7
довгочасний,-,1,0,0,9
довго,0,0,1,0,1
чимало,0,0,2,0,2
чималу_годину,0,0,1,0,2
чималий_час,0,0,1,0,2
усе,0,0,3,0,2
все,0,0,1,0,0
довгенько,0,0,1,0,2
подовгу,0,0,1,0,2
довговічний,U,0,0,0,-1
багаторічний,U,0,0,0,-1
довгорічний,U,0,0,0,-1
довгоносик,U,0,0,0,-1
слоник,U,0,0,0,-1
вовчок_збіжжевий,U,0,0,0,-1
носач,U,0,0,0,-1
свинка,U,0,0,0,-1
довготелесий,U,0,0,0,8
високий,A,1,1,0,7
худий,-,1,0,0,8
незграбний,-,2,0,0,8
довготривалий,U,0,0,0,8
довершений,0,0,2,0,6
досконалий,0,0,1,0,6
довершити,+,0,1,3,9
довершувати,+,0,1,2,9
завершувати,A,0,1,1,9
завершити,A,0,1,1,9
закінчувати,0,0,6,0,8
закінчити,A,0,1,1,9
виконувати,+,0,0,1,8
виконати,+,0,0,1,8
довести,+,0,0,1,10
доводити,A,0,2,2,9
довід,+,0,0,1,6
потвердження,+,0,0,1,7
свідчення,+,0,0,1,5
арґумент,+,0,0,1,7
резон,+,0,0,2,7
доказ,+,0,0,1,7
підстава,+,0,0,3,6
довідатися,+,0,0,4,8
довідуватися,+,0,0,3,8
довідка,U,0,0,0,-1
посвідчення,U,0,0,0,-1
посвідка,U,0,0,0,-1
свідоцтво,U,0,0,0,-1
довідник,+,0,0,1,10
посібник,+,0,0,1,9
проспект,+,0,0,1,11
прейскурант,+,0,0,1,11
дізнаватися,+,0,0,2,8
дізнатися,+,0,0,4,8
вивідувати,+,0,0,1,7
вивідати,+,0,0,1,7
довіра,+,0,0,1,7
довір'я,+,0,0,1,8
віра,+,0,0,1,6
довірений,-,1,0,0,6
наближений,-,1,0,0,5
довірливий,-,1,0,0,8
легковірний,-,1,0,0,9
наївний,-,2,0,0,8
простакуватий,-,2,0,0,8
довіряти,-,2,1,0,9
довірятися,A,1,1,0,10
довіритися,A,1,1,0,10
вірити,-,1,0,0,10
йняти_віру,-,1,0,0,10
йняти_віри,-,1,0,0,10
пойняти_віру,-,1,0,0,10
пойняти_віри,-,1,0,0,10
покладатися,-,1,0,0,10
покластися,-,1,0,0,10
звірятися,A,1,1,0,10
звіритися,A,1,1,0,10
надіятися,A,1,0,1,9
увіряти,-,1,0,0,10
ввіряти,-,1,0,0,10
увірити,-,1,0,0,10
ввірити,-,1,0,0,10
увірятися,-,1,0,0,10
ввіритися,-,1,0,0,10
спускатися,-,2,0,0,8
спуститися,-,2,0,0,8
доручати,0,0,1,0,8
звіряти,0,1,3,1,9
довічний,0,0,1,0,7
вічний,0,0,1,0,6
споконвічний,A,1,1,0,6
одвічний,0,0,1,0,8
обґрунтовувати,U,0,0,0,10
обґрунтувати,U,0,0,0,10
мотивувати,+,0,0,1,9
умотивовувати,U,0,0,0,10
вмотивовувати,U,0,0,0,10
умотивувати,U,0,0,0,10
